"Datum";"Mitarbeiter";"Beschreibung";"Beobachtung_Start";"Beobachtung_Stopp";"Tätigkeit";"Startzeit";"Stoppzeit";"Dauer_Sekunden"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Bauteil wenden";"04.09.2026 07:05:00";"04.09.2026 07:06:17";"77,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Hölzer auflegen";"04.09.2026 07:06:17";"04.09.2026 07:08:57";"160,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Schrauben suchen";"04.09.2026 07:08:57";"04.09.2026 07:11:11";"134,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Hölzer verschrauben";"04.09.2026 07:11:11";"04.09.2026 07:12:23";"72,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Bauteil wenden";"04.09.2026 07:12:23";"04.09.2026 07:17:22";"299,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Hölzer ausrichten";"04.09.2026 07:17:22";"04.09.2026 07:22:44";"322,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Material holen";"04.09.2026 07:22:44";"04.09.2026 07:23:20";"36,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Hölzer auflegen";"04.09.2026 07:23:20";"04.09.2026 07:24:27";"67,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Schrauben suchen";"04.09.2026 07:24:27";"04.09.2026 07:26:46";"139,0"
"04.09.2026";"Martin";"Vorfertigung Wandelement 1";"04.09.2026 07:05:00";"04.09.2026 07:48:12";"Anzeichnen";"04.09.2026 07:26:46";"04.09.2026 07:32:14";"328,0"
